id,codigo,ex,tipo,descricao,nacional_federal,importados_federal,estadual,municipal,vigencia_inicio,vigencia_fim,chave,versao,fonte,estado
48390,00000000,0.0,0,PRODUTO NAO ESPECIFICADO NA LISTA DE NCM,4.2,6.2,0.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48391,01012100,,0,"Cavalos reprodutores,de raca pura",13.45,15.45,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48392,01012900,,0,"Cavalos vivos,exceto reprodutores de raca pura",13.45,15.45,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48393,01013000,,0,Asininos,13.45,17.16,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48394,01019000,,0,"Outros asininos e muares,vivos",13.45,17.16,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48395,01022110,,0,"Bovinos reprodutores,de raca pura,prenhe ou com cria ao pe",13.45,15.45,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48396,01022190,,0,"Outros bovinos reprodutores,de raca pura",13.45,15.45,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48397,01022911,,0,"Outros bovinos para reproducao, prenhe ou com cria ao pe",13.45,15.45,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48398,01022919,,0,Outros bovinos domesticos para reproducao,13.45,15.45,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48399,01022990,,0,Outros bovinos domesticos,13.45,15.45,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48400,01023110,,0,"Bufalos reprodutores,de raca pura, prenhe ou com cria ao pe",13.45,15.45,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48401,01023190,,0,"Outros bufalos reprodutores,de raca pura",13.45,15.45,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48402,01023911,,0,"Outros bufalos para reproducao, prenhe ou com cria ao pe",13.45,15.45,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48403,01023919,,0,Outros bufalos para reproducao,13.45,15.45,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48404,01023990,,0,Outros bufalos,13.45,15.45,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48405,01029000,,0,Outros animais vivos da especie bovina,13.45,15.45,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48406,01031000,,0,Suinos reprodutores de raca pura,13.45,15.45,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48407,01039100,,0,"Outros suinos,vivos,de peso inferior a 50kg",13.45,15.45,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
